GCA_017639675.1	-1	GCA_017639675.1	Fishes	Actinopterygii (Ray-finned Fishes)	Galaxiiformes	Galaxiidae	Aplochiton taeniatus	peladilla
GCA_034619465.1	-1	GCA_034619465.1	Birds	Core landbirds	Leptosomiiformes	Leptosomidae	Leptosomus discolor	cuckoo-roller
GCA_035046505.1	-1	GCA_035046505.1	Reptiles	Squamata	Scincoidea	Scincoidea	Tiliqua scincoides	blue-tongue skink
GCA_035084275.1	-1	GCA_035084275.1	Fishes	Chondrichthyes (Cartilaginous Fishes)	Chimaeriformes	Chimaeridae	Hydrolagus colliei	spotted ratfish
GCA_040206685.1	-1	GCA_040206685.1	Amphibians	Anura	Archaeobatrachia > Leiopelmatoidea (Ascaphidae & Leiopelmatidae)	Ascaphidae	Ascaphus truei	coastal tailed frog
GCA_040939525.1	-1	GCA_040939525.1	Fishes	Sarcopterygii (Lobe-finned fishes)	Ceratodontiformes	Protopteridae	Protopterus annectens	West African lungfish
GCA_041902795.1	-1	GCA_041902795.1	Fishes	Actinopterygii (Ray-finned Fishes)	Gymnotiformes	Gymnotidae	Electrophorus electricus	electric eel
GCA_048301465.1	-1	GCA_048301465.1	Fishes	Actinopterygii (Ray-finned Fishes)	Syngnathiformes	Aulostomidae	Aulostomus maculatus	West Atlantic trumpetfish
GCA_048569125.1	-1	GCA_048569125.1	Fishes	Actinopterygii (Ray-finned Fishes)	Trachichthyiformes	Diretmidae	Diretmus argenteus	silver spinyfin
GCA_947623445.1	-1	GCA_947623445.1	Invertebrates	Tunicata	Enterogona	Clavelinidae	Clavelina lepadiformis	light-bulb sea squirt
GCA_963082875.1	-1	GCA_963082875.1	Invertebrates	Tunicata	Enterogona	Corellidae	Corella eumyota	Orange-tipped sea squirt
GCA_963971535.1	-1	GCA_963971535.1	Fishes	Actinopterygii (Ray-finned Fishes)	Aulopiformes	Paralepididae	Notolepis coatsi	Antarctic jonasfish
GCA_964194135.1	-1	GCA_964194135.1	Mammals	Laurasiatheria	Eulipotyphla (Talpidae)	Talpidae	Talpa europaea	European mole
GCA_964204865.1	-1	GCA_964204865.1	Invertebrates	Tunicata	Enterogona	Styelidae	Styela clava	leathery sea squirt
GCA_965202585.1	-1	GCA_965202585.1	Invertebrates	Tunicata	Enterogona	Salpidae	Thalia democratica	Thalia democratica
GCF_020382885.2	-1	GCF_020382885.2	Fishes	Actinopterygii (Ray-finned Fishes)	insertae sedis in Eupercaria	Scatophagidae	Scatophagus argus	spotted scat
GCF_037176945.1	-1	GCF_037176945.1	Fishes	Sarcopterygii (Lobe-finned fishes)	Coelacanthiformes	Coelacanthidae	Latimeria chalumnae	African coelacanth
GCF_900747795.2	-1	GCF_900747795.2	Fishes	Actinopterygii (Ray-finned Fishes)	Polypteriformes	Polypteridae	Erpetoichthys calabaricus	reedfish
GCF_902362185.1	-1	GCF_902362185.1	Fishes	Actinopterygii (Ray-finned Fishes)	Gonorynchiformes	Chanidae	Chanos chanos	milkfish
GCF_902500255.1	-1	GCF_902500255.1	Fishes	Actinopterygii (Ray-finned Fishes)	Batrachoidiformes	Batrachoididae	Thalassophryne amazonica	prehistoric monster fish
GCF_902713425.1	-1	GCF_902713425.1	Fishes	Actinopterygii (Ray-finned Fishes)	Acipenseriformes	Acipenseridae	Acipenser ruthenus	sterlet
GCA_040954625.2	1	GCA_040954625.2	Invertebrates	Hemichordata	Enteropneusta	Harrimaniidae	Balanoglossus misakiensis	acorn worm
GCF_902459465.1	1	GCF_902459465.1	Invertebrates	Echinodermata	Forcipulatida	Asteriidae	Asterias rubens	common starfish
GCA_015852565.1	2	GCA_015852565.1	Invertebrates	Cephalochordata	Amphioxiformes	Branchiostomatidae	Branchiostoma floridae	Florida amphioxus
GCA_019207075.1	2	GCA_019207075.1	Invertebrates	Cephalochordata	Amphioxiformes	Branchiostomatidae	Branchiostoma belcheri	Belcher's lancelet
GCA_035083965.1	2	GCA_035083965.1	Invertebrates	Cephalochordata	Amphioxiformes	Branchiostomatidae	Branchiostoma lanceolatum	European lancelet
GCA_048934315.1	3	GCA_048934315.1	Fishes	Agnatha (Jawless Fishes)	Petromyzontiformes	Petromyzontidae	Petromyzon marinus	sea lamprey
GCA_964187855.1	3	GCA_964187855.1	Fishes	Agnatha (Jawless Fishes)	Myxiniformes	Myxinidae	Myxine glutinosa	Atlantic hagfish
GCA_964198595.1	3	GCA_964198595.1	Fishes	Agnatha (Jawless Fishes)	Petromyzontiformes	Petromyzontidae	Lampetra fluviatilis	European river lamprey
GCA_947561715.1	4	GCA_947561715.1	Invertebrates	Tunicata	Enterogona	Ascidiidae	Ascidia mentula	pink sea squirt
GCA_963924565.1	4	GCA_963924565.1	Invertebrates	Tunicata	Enterogona	Ascidiidae	Ascidiella aspersa	European sea squirt
GCA_964194155.1	5	GCA_964194155.1	Fishes	Chondrichthyes (Cartilaginous Fishes)	Lamniformes	Alopiidae	Cetorhinus maximus	basking shark
GCA_964213995.1	5	GCA_964213995.1	Fishes	Chondrichthyes (Cartilaginous Fishes)	Carcharhiniformes	Triakidae	Mustelus asterias	starry smooth-hound shark
GCF_017639515.1	5	GCF_017639515.1	Fishes	Chondrichthyes (Cartilaginous Fishes)	Lamniformes	Alopiidae	Carcharodon carcharias	great white shark
GCF_020745735.1	5	GCF_020745735.1	Fishes	Chondrichthyes (Cartilaginous Fishes)	Orectolobiformes	Hemiscylliidae	Hemiscyllium ocellatum	epaulette shark
GCF_030684315.1	5	GCF_030684315.1	Fishes	Chondrichthyes (Cartilaginous Fishes)	Orectolobiformes	Stegostomatidae	Stegostoma tigrinum	zebra shark
GCF_035084215.1	5	GCF_035084215.1	Fishes	Chondrichthyes (Cartilaginous Fishes)	Hexanchiformes	Hexanchidae	Heptranchias perlo	sharpnose sevengill shark
GCF_036365525.1	5	GCF_036365525.1	Fishes	Chondrichthyes (Cartilaginous Fishes)	Heterodontiformes	Heterodontidae	Heterodontus francisci	horn shark
GCF_044704955.1	5	GCF_044704955.1	Fishes	Chondrichthyes (Cartilaginous Fishes)	Pristiophoriformes	Pristiophoridae	Pristiophorus japonicus	Japanese sawshark
GCF_902713615.1	5	GCF_902713615.1	Fishes	Chondrichthyes (Cartilaginous Fishes)	Carcharhiniformes	Scyliorhinidae	Scyliorhinus canicula	small-spotted catshark
GCA_963514005.1	6	GCA_963514005.1	Fishes	Chondrichthyes (Cartilaginous Fishes)	Rajiformes	Rajidae	Raja brachyura	blonde ray
GCF_009764475.1	6	GCF_009764475.1	Fishes	Chondrichthyes (Cartilaginous Fishes)	Rhinopristiformes	Pristidae	Pristis pectinata	smalltooth sawfish
GCF_010909765.2	6	GCF_010909765.2	Fishes	Chondrichthyes (Cartilaginous Fishes)	Rajiformes	Rajidae	Amblyraja radiata	thorny skate
GCF_030028105.1	6	GCF_030028105.1	Fishes	Chondrichthyes (Cartilaginous Fishes)	Myliobatiformes	Mobulidae	Mobula birostris	Atlantic manta ray
GCF_030144855.1	6	GCF_030144855.1	Fishes	Chondrichthyes (Cartilaginous Fishes)	Myliobatiformes	Dasyatidae	Hypanus sabinus	Atlantic stingray
GCF_036971445.1	6	GCF_036971445.1	Fishes	Chondrichthyes (Cartilaginous Fishes)	Torpediniformes	Narcinidae	Narcine bancroftii	lesser electric ray
GCA_918807975.1	7	GCA_918807975.1	Invertebrates	Tunicata	Enterogona	Polyclinidae	Aplidium turbinatum	clonial sea squirt
